loannumber,historial,referido,flag,age,parte_mes_pago,due_per_day,interes,cuenta_corriente,cuenta_otra,cuenta_ahorro,employment,Kmeans_Cluster
12,0,1,1,50,1,1150,15.0,0,1,0,2,1
7,1,1,1,37,1,1483,11.25,0,1,0,2,1
3,0,1,1,44,2,766,15.0,0,0,1,2,2
9,1,1,1,35,3,1466,10.0,0,1,0,2,1
8,1,1,1,49,2,650,30.0,0,0,1,2,2
3,1,1,1,32,3,433,30.0,0,0,1,2,0
10,1,1,1,34,1,1150,15.0,0,0,1,1,1
4,0,1,1,34,3,766,15.0,0,0,1,2,2
2,1,1,1,37,3,766,15.0,0,0,1,0,2
2,1,1,1,38,3,433,30.0,0,0,1,2,0
3,0,1,0,34,3,433,30.0,0,0,1,2,0
2,1,1,1,56,2,766,15.0,0,0,1,1,2
11,1,1,1,44,1,1466,10.0,0,1,0,2,1
13,1,1,1,42,2,1466,10.0,0,1,0,2,1
3,1,1,1,37,3,433,30.0,0,0,1,2,0
3,0,1,1,40,2,766,15.0,0,1,0,2,2
2,1,3,0,39,3,766,15.0,0,0,1,1,2
15,1,1,1,46,2,1466,10.0,0,0,1,2,1
10,1,1,1,36,1,1150,15.0,0,0,1,2,1
3,1,3,1,44,3,433,30.0,0,0,1,2,0
2,1,3,0,28,2,766,15.0,0,0,1,2,2
7,0,1,1,39,2,958,15.0,0,0,1,1,2
3,1,1,1,39,3,433,30.0,0,0,1,2,0
2,1,1,1,34,1,433,30.0,0,0,1,2,0
3,1,1,1,34,3,433,30.0,0,0,1,2,0
4,1,1,1,29,1,816,22.5,0,0,1,2,2
2,1,3,1,37,3,766,15.0,0,0,1,2,2
5,1,1,1,35,3,1483,11.25,0,0,1,2,1
6,0,1,0,26,3,433,30.0,0,1,0,2,0
2,1,1,1,30,3,433,30.0,0,0,1,2,0
5,1,1,1,45,2,816,22.5,0,0,1,1,2
10,1,1,1,37,1,816,22.5,0,1,0,2,2
4,1,1,1,39,1,816,22.5,0,0,1,2,2
2,0,1,1,48,1,433,30.0,0,1,0,1,0
5,1,1,1,28,3,1483,11.25,0,1,0,0,1
2,1,3,1,33,1,433,30.0,0,0,1,2,0
2,1,1,1,40,3,766,15.0,0,0,1,2,2
8,1,1,1,37,1,1150,15.0,0,0,1,2,1
15,0,1,1,33,3,1466,10.0,0,1,0,2,1
4,0,1,1,30,1,433,30.0,0,1,0,2,0
2,1,3,1,28,2,433,30.0,0,0,1,2,0
3,1,1,1,46,2,766,15.0,0,0,1,1,2
4,1,1,1,36,3,766,15.0,0,0,1,2,2
5,0,1,1,37,3,1483,11.25,1,0,0,2,1
2,1,3,1,35,2,433,30.0,0,0,1,2,0
8,1,1,1,33,3,1150,15.0,0,1,0,2,1
9,1,1,1,47,3,1483,11.25,0,0,1,2,1
3,1,1,1,36,1,433,30.0,0,0,1,2,0
6,1,1,1,60,2,816,22.5,0,0,1,2,2
3,1,1,1,36,3,433,30.0,0,0,1,2,0
4,0,1,0,37,2,433,30.0,0,0,1,1,0
4,1,1,1,35,1,816,22.5,1,0,0,2,2
2,1,1,1,37,3,766,15.0,0,0,1,1,2
5,1,1,1,34,1,816,22.5,0,0,1,2,2
2,1,1,1,38,3,433,30.0,0,0,1,2,0
5,1,1,1,35,3,816,22.5,0,0,1,2,2
2,1,1,1,35,3,433,30.0,0,0,1,2,0
8,1,1,1,46,1,800,20.0,0,0,1,2,2
17,1,1,1,51,3,1466,10.0,0,1,0,0,1
4,1,1,0,28,1,1483,11.25,0,0,1,0,1
12,0,1,1,52,3,1150,15.0,0,0,1,2,1
7,1,1,0,42,2,650,30.0,0,1,0,2,2
12,0,1,0,42,1,1150,15.0,0,1,0,2,1
2,1,1,1,38,2,433,30.0,0,0,1,2,0
12,1,1,1,34,2,800,20.0,0,0,1,2,2
5,1,3,1,27,3,816,22.5,0,0,1,2,2
7,1,1,1,38,1,650,30.0,0,0,1,2,2
3,1,1,1,40,3,433,30.0,0,0,1,2,0
10,1,1,1,40,3,1466,10.0,0,1,0,1,1
5,1,1,1,36,3,650,30.0,0,0,1,2,2
2,1,3,1,37,2,433,30.0,0,0,1,2,0
3,1,3,1,36,3,433,30.0,0,0,1,2,0
2,1,1,1,33,1,433,30.0,0,0,1,2,0
3,0,1,1,32,1,433,30.0,0,0,1,2,0
8,0,1,1,34,2,433,30.0,0,0,1,0,0
6,1,1,1,30,3,1150,15.0,0,0,1,2,1
2,1,1,1,26,1,433,30.0,0,0,1,0,0
4,0,1,1,40,2,816,22.5,0,0,1,2,2
6,1,1,1,43,2,816,22.5,0,0,1,2,2
2,1,1,1,34,2,433,30.0,0,0,1,2,0
2,1,1,1,35,2,433,30.0,0,1,0,2,0
8,1,1,1,40,3,1150,15.0,0,0,1,2,1
4,1,1,1,40,1,741,11.25,0,0,1,2,2
5,1,1,1,40,1,816,22.5,0,0,1,2,2
11,0,1,1,41,2,1150,15.0,0,1,0,2,1
