loannumber,longitude_gps,latitude_gps,historial,referido,flag,age,parte_mes_pago,due_per_day,account_type,education,employment
12,3.4320102,6.4330553,0,1,1,50,3,1150,0,3,2
7,11.1393496,10.2920413,1,1,1,37,3,1483,0,0,2
3,3.9857698,7.4917081,0,1,1,44,2,766,2,0,2
9,7.4579127,9.0765736,1,1,1,35,1,1466,0,1,2
8,3.3119815,6.6332713,1,1,1,49,2,650,2,0,2
3,3.2594445,6.5570112,1,1,1,32,1,433,2,0,2
10,6.1780556,5.4257996,1,1,1,34,3,1150,2,0,0
4,3.3965242,6.6279429,0,1,1,34,1,766,2,0,2
2,3.2858723,6.5824439,1,1,1,37,1,766,2,0,1
2,7.1233193,4.8834997,1,1,1,38,1,433,2,0,2
3,3.8210848,7.3326277,0,1,0,34,1,433,2,0,2
2,3.1727935,6.6832653,1,1,1,56,2,766,2,0,0
11,3.3022556,6.636865,1,1,1,44,3,1466,0,0,2
13,3.3526543,6.456209,1,1,1,42,2,1466,0,0,2
3,3.70037,7.3943183,1,1,1,37,1,433,2,0,2
3,3.3718018,6.5169394,0,1,1,40,2,766,0,0,2
2,3.3661119,6.5975949,1,3,0,39,1,766,2,0,0
15,3.4296003,6.4530244,1,1,1,46,2,1466,2,0,2
10,7.8876376,8.8351164,1,1,1,36,3,1150,2,0,2
3,3.345346,6.5617308,1,3,1,44,1,433,2,0,2
2,3.5246642,6.6592427,1,3,0,28,2,766,2,0,2
7,7.1694297,9.2174068,0,1,1,39,2,958,2,0,0
3,3.8701435,7.3979258,1,1,1,39,1,433,2,0,2
2,3.9809867,7.4239296,1,1,1,34,3,433,2,0,2
3,3.35763,6.668355,1,1,1,34,1,433,2,0,2
4,6.8004083,6.1594433,1,1,1,29,3,816,2,0,2
2,3.2205031,6.5319046,1,3,1,37,1,766,2,0,2
5,3.479829,6.4489694,1,1,1,35,1,1483,2,0,2
6,3.2949859,6.5386422,0,1,0,26,1,433,0,2,2
2,3.259777,6.5532982,1,1,1,30,1,433,2,0,2
5,7.4401471,8.9494179,1,1,1,45,2,816,2,0,0
10,3.4085368,6.4281638,1,1,1,37,3,816,0,2,2
4,3.2934205,6.6400639,1,1,1,39,3,816,2,0,2
2,4.5649533,7.78312,0,1,1,48,3,433,0,0,0
5,5.6140915,6.3906691,1,1,1,28,1,1483,0,0,1
2,3.3594054,6.605609,1,3,1,33,3,433,2,0,2
2,2.957738,6.5342122,1,1,1,40,1,766,2,0,2
8,3.8981503,7.3491502,1,1,1,37,3,1150,2,0,2
15,12.4805166,9.2099548,0,1,1,33,1,1466,0,0,2
4,3.3330007,6.5733791,0,1,1,30,3,433,0,0,2
2,3.343518,6.5370166,1,3,1,28,2,433,2,0,2
3,3.30555,6.5103567,1,1,1,45,2,766,2,0,0
4,3.9036073,7.3393735,1,1,1,36,1,766,2,0,2
5,3.4326509,6.4537758,0,1,1,37,1,1483,1,0,2
2,3.6595105,6.6681408,1,3,1,35,2,433,2,0,2
8,8.6713276,9.0830135,1,1,1,33,1,1150,0,0,2
9,3.5579715,6.4634231,1,1,1,47,1,1483,2,0,2
3,3.4929233,6.6057041,1,1,1,36,3,433,2,0,2
6,5.3269784,7.799699,1,1,1,60,2,816,2,0,2
3,3.5159825,6.7062641,1,1,1,36,1,433,2,0,2
4,3.2643932,6.5667918,0,1,0,37,2,433,2,0,0
4,3.9074055,6.8171079,1,1,1,35,3,816,1,0,2
2,3.3229955,6.6538756,1,1,1,37,1,766,2,0,0
5,5.6451006,5.9270242,1,1,1,34,3,816,2,0,2
2,3.8710285,7.307713,1,1,1,38,1,433,2,0,2
5,5.6475083,6.263345,1,1,1,35,1,816,2,0,2
2,7.4847391,8.9966162,1,1,1,35,1,433,2,0,2
8,3.3427681,6.5094142,1,1,1,45,3,800,2,2,2
17,3.4339027,6.8257862,1,1,1,51,1,1466,0,1,1
4,-2.9799497,56.464013,1,1,0,28,3,1483,2,2,1
12,7.4941013,8.9654194,0,1,1,52,1,1150,2,0,2
7,3.3056888,6.4445214,1,1,0,42,2,650,0,0,2
12,8.3232966,4.9612435,0,1,0,42,3,1150,0,1,2
2,3.2865452,6.6156567,1,1,1,38,2,433,2,0,2
12,3.1696445,6.6879675,1,1,1,34,2,800,2,0,2
5,4.611628,8.5332935,1,3,1,27,1,816,2,0,2
7,3.9628733,7.3864283,1,1,1,38,3,650,2,0,2
3,5.7580338,5.5474235,1,1,1,40,1,433,2,0,2
10,6.5449284,9.585993,1,1,1,40,1,1466,0,0,0
5,6.785373,6.1538848,1,1,1,36,1,650,2,0,2
2,3.5663844,6.470378,1,3,1,37,2,433,2,0,2
3,7.7965867,4.9799733,1,3,1,36,1,433,2,0,2
2,3.8485124,7.3684474,1,1,1,33,3,433,2,0,2
3,3.3130982,6.502111,0,1,1,32,3,433,2,0,2
8,3.3562934,6.5295153,0,1,1,34,2,433,2,1,1
6,3.4575733,6.8170067,1,1,1,30,1,1150,2,0,2
2,3.1941288,6.5054402,1,1,1,26,3,433,2,0,1
4,3.9239833,7.535835,0,1,1,40,2,816,2,0,2
6,3.3704039,6.5613766,1,1,1,43,2,816,2,0,2
2,3.5754168,6.8846432,1,1,1,34,2,433,2,0,2
2,6.5298068,9.6558677,1,1,1,35,2,433,0,0,2
8,3.0422946,7.0111402,1,1,1,40,1,1150,2,0,2
4,3.3985141,6.4484509,1,1,1,39,3,741,2,0,2
5,3.3571693,6.4944359,1,1,1,40,3,816,2,0,2
11,3.3296052,6.6641726,0,1,1,41,2,1150,0,1,2
12,8.3422141,4.9916379,0,1,0,39,2,1150,0,2,2
6,3.3189105,6.475366,1,1,1,45,3,816,2,0,2
8,3.0761816,6.5206408,0,1,1,48,3,1112,2,2,2
2,5.7673454,6.9371393,1,1,1,36,1,766,2,0,2
15,3.4569749,6.4445183,1,1,1,41,1,1750,0,2,2
2,3.9491108,7.4093746,1,1,1,42,1,766,2,0,2
9,7.4031311,9.0338175,1,1,1,36,2,1150,2,0,2
2,3.2987679,6.6817293,1,3,1,36,2,433,2,0,2
2,7.42814,10.5155267,1,3,1,29,2,433,2,0,2
2,3.5643465,6.4670586,1,1,1,35,3,433,2,0,0
2,3.9192159,6.834497,1,1,1,37,1,433,2,0,2
3,3.3329005,6.5848311,1,1,1,38,3,433,2,0,2
9,4.5164514,7.5221913,1,1,1,30,2,1466,2,0,1
4,7.9308565,5.0315413,1,1,1,36,3,766,2,0,2
2,7.3739783,8.9866,1,3,1,31,3,433,2,0,2
2,7.5247928,6.4143695,1,1,1,51,3,766,2,0,2
2,3.516056,6.6697184,1,1,1,30,2,433,2,0,2
2,3.2906601,6.5762048,1,1,1,38,1,433,2,0,1
2,6.9935739,4.787991,1,1,0,41,2,433,2,0,2
5,5.74397,5.5321806,1,1,1,27,1,1483,2,0,2
4,3.2994172,6.6629053,1,1,1,38,2,816,1,0,2
2,4.4920481,8.4683092,1,3,1,44,2,433,2,0,2
3,3.3935864,6.4869916,0,1,0,32,3,766,2,0,2
9,3.2907677,6.5763859,1,1,1,42,1,800,2,2,2
4,3.4585124,6.4391929,1,1,1,36,1,1483,2,0,2
2,3.9097613,7.4238951,1,1,1,40,3,433,2,0,2
2,3.8715045,7.4209592,1,3,1,36,3,766,2,0,0
2,3.3563968,6.622773,1,1,1,40,2,433,0,0,2
3,6.975335,4.8818767,1,3,1,47,1,766,2,0,2
2,3.3399935,6.6387534,0,1,1,35,2,433,2,0,2
5,7.081465,4.847945,1,1,1,37,1,816,2,0,2
2,5.2075846,7.2576158,1,1,1,36,1,433,2,0,2
4,3.39221,6.5391844,1,1,1,35,2,816,2,0,2
11,8.5754049,12.0086534,1,1,0,35,2,1466,2,2,2
2,3.3255983,7.1194033,0,1,0,36,1,433,2,0,2
2,3.3238605,7.1142931,1,1,0,35,3,433,2,0,2
4,3.3768426,6.5578572,1,1,0,34,2,816,2,0,0
2,6.9549683,4.8176549,0,1,0,27,3,433,2,0,2
2,6.3178448,4.9410471,1,3,0,37,2,766,2,0,0
2,5.2191494,7.2108393,0,1,0,38,3,433,2,0,2
3,6.9761323,4.8010013,1,1,1,44,3,766,2,1,2
3,7.0123508,4.7531198,0,1,1,44,1,766,0,2,2
7,4.5811951,8.4291655,1,1,1,36,3,1150,0,0,2
5,3.4006852,6.4510174,1,1,1,28,1,816,2,1,1
18,3.1260613,6.6778432,1,1,1,45,3,1750,0,2,2
2,3.9092595,7.4432612,0,1,0,29,3,433,2,0,2
7,3.3813132,6.4939532,1,1,1,30,3,1150,2,0,2
12,3.5410367,6.733155,0,1,0,34,3,1483,2,2,2
3,3.3016329,6.5212034,1,1,1,35,3,433,2,0,2
3,3.5541342,6.6105681,1,1,1,46,2,433,0,0,2
7,3.3232994,6.627701,1,1,1,43,1,650,2,0,2
5,3.3484849,6.6348512,1,1,1,34,1,1450,2,0,0
3,8.3163457,5.0481816,1,1,0,34,1,766,2,0,0
5,3.2972894,6.6627479,1,1,1,45,1,816,0,0,2
2,7.4881394,8.9752501,1,1,0,30,3,433,0,0,2
4,7.4527967,10.4446483,1,1,1,37,2,408,2,0,0
5,3.4446285,6.8397571,0,1,1,39,3,433,2,0,2
3,6.6990933,7.8006767,0,1,0,29,2,433,0,0,2
6,7.4654217,9.08262,1,1,1,36,1,816,2,0,2
2,6.77835,6.1508967,1,1,1,31,1,433,2,0,2
2,3.1924733,6.50248,1,1,1,31,1,433,2,0,2
7,3.3035176,6.5217993,1,1,1,41,1,1150,2,0,0
2,5.1736753,7.2704331,1,1,1,53,3,433,2,0,2
