estado,pib_capita
Lagos,US$33.679
Rivers,US$21.073
Delta,US$16.749
Oyo,US$16.121
Imo,US$14.212
Akwa Ibom,US$13.700
Kano,US$12.393
Edo,US$11.888
Ogun,US$10.470
Kaduna,US$10.334
Cross River,US$9.292
Abia,US$8.687
Ondo,US$8.414
Osun,US$7.280
Benue,US$6.864
Anambra,US$6.764
Katsina,US$6.022
Niger,US$6.002
Borno,US$5.175
Plateau,US$5.154
Sokoto,US$4.818
Bauchi,US$4.713
Kogi,US$4.642
Adamawa,US$4.582
Enugu,US$4.396
Bayelsa,US$4.337
Zamfara,US$4.123
Kwara,US$3.841
Taraba,US$3.397
Kebbi,US$3.290
Nassarawa,US$3.022
Jigawa,US$2.988
Ekiti,US$2.848
Ebonyi,US$2.732
Gombe,US$2.501
Yobe,US$2.011
