loannumber,historial,referido,flag,age,due_per_day,interes,cuenta_corriente,cuenta_otra,cuenta_ahorro,pib_capita,employment
12,0,1,1,50,1150,15.0,0,1,0,2065,2
7,1,1,1,37,1483,11.25,0,1,0,641,2
3,0,1,1,44,766,15.0,0,0,1,1632,2
9,1,1,1,35,1466,10.0,0,1,0,2201,2
8,1,1,1,49,650,30.0,0,0,1,2065,2
3,1,1,1,32,433,30.0,0,0,1,2065,2
10,1,1,1,34,1150,15.0,0,0,1,2329,1
4,0,1,1,34,766,15.0,0,0,1,2065,2
2,1,1,1,37,766,15.0,0,0,1,2065,0
2,1,1,1,38,433,30.0,0,0,1,2276,2
3,0,1,0,34,433,30.0,0,0,1,1632,2
2,1,1,1,56,766,15.0,0,0,1,2061,1
11,1,1,1,44,1466,10.0,0,1,0,2065,2
13,1,1,1,42,1466,10.0,0,1,0,2065,2
3,1,1,1,37,433,30.0,0,0,1,1632,2
3,0,1,1,40,766,15.0,0,1,0,2065,2
2,1,3,0,39,766,15.0,0,0,1,2065,1
15,1,1,1,46,1466,10.0,0,0,1,2065,2
10,1,1,1,36,1150,15.0,0,0,1,1099,2
3,1,3,1,44,433,30.0,0,0,1,2065,2
2,1,3,0,28,766,15.0,0,0,1,2065,2
7,0,1,1,39,958,15.0,0,0,1,907,1
3,1,1,1,39,433,30.0,0,0,1,1632,2
2,1,1,1,34,433,30.0,0,0,1,1632,2
3,1,1,1,34,433,30.0,0,0,1,2065,2
4,1,1,1,29,816,22.5,0,0,1,981,2
2,1,3,1,37,766,15.0,0,0,1,2065,2
5,1,1,1,35,1483,11.25,0,0,1,2065,2
6,0,1,0,26,433,30.0,0,1,0,2065,2
2,1,1,1,30,433,30.0,0,0,1,2065,2
5,1,1,1,45,816,22.5,0,0,1,2201,1
10,1,1,1,37,816,22.5,0,1,0,2065,2
4,1,1,1,39,816,22.5,0,0,1,2065,2
2,0,1,1,48,433,30.0,0,1,0,1390,1
5,1,1,1,28,1483,11.25,0,1,0,2273,0
2,1,3,1,33,433,30.0,0,0,1,2065,2
2,1,1,1,40,766,15.0,0,0,1,2061,2
8,1,1,1,37,1150,15.0,0,0,1,1632,2
15,0,1,1,33,1466,10.0,0,1,0,791,2
4,0,1,1,30,433,30.0,0,1,0,2065,2
2,1,3,1,28,433,30.0,0,0,1,2065,2
3,1,1,1,46,766,15.0,0,0,1,2065,1
4,1,1,1,36,766,15.0,0,0,1,1632,2
5,0,1,1,37,1483,11.25,1,0,0,2065,2
2,1,3,1,35,433,30.0,0,0,1,2065,2
8,1,1,1,33,1150,15.0,0,1,0,1099,2
9,1,1,1,47,1483,11.25,0,0,1,2065,2
3,1,1,1,36,433,30.0,0,0,1,2065,2
6,1,1,1,60,816,22.5,0,0,1,798,2
3,1,1,1,36,433,30.0,0,0,1,2065,2
4,0,1,0,37,433,30.0,0,0,1,2065,1
4,1,1,1,35,816,22.5,1,0,0,2061,2
2,1,1,1,37,766,15.0,0,0,1,2065,1
5,1,1,1,34,816,22.5,0,0,1,2329,2
2,1,1,1,38,433,30.0,0,0,1,1632,2
5,1,1,1,35,816,22.5,0,0,1,2273,2
2,1,1,1,35,433,30.0,0,0,1,2201,2
8,1,1,1,46,800,20.0,0,0,1,2065,2
